El,[X/H],e_[X/H],Ax,e_Ax,Bx,e_Bx,zx,Xgas/H0,e_Xgas/H0,Xgas/H1,e_Xgas/H1,chi2,dof,Prob
C , 8.46, 0.04,-0.101, 0.229,-0.193, 0.060, 0.803,-0.112, 0.194,-0.213, 0.075,  3.7,  8, 0.881
N , 7.90, 0.11, 0.000, 0.079,-0.109, 0.111, 0.550,-0.109, 0.119,-0.109, 0.117, 28.8, 32, 0.628
O , 8.76, 0.05,-0.225, 0.053,-0.145, 0.051, 0.598,-0.010, 0.060,-0.236, 0.055, 75.0, 64, 0.164
Mg, 7.62, 0.02,-0.997, 0.039,-0.800, 0.022, 0.531,-0.270, 0.030,-1.267, 0.029, 79.0,103, 0.962
Si, 7.61, 0.02,-1.136, 0.062,-0.570, 0.029, 0.305,-0.223, 0.035,-1.359, 0.052, 19.4, 16, 0.247
P , 5.54, 0.04,-0.945, 0.051,-0.166, 0.042, 0.488, 0.296, 0.049,-0.649, 0.050, 69.5, 65, 0.330
Cl, 5.33, 0.06,-1.242, 0.129,-0.314, 0.065, 0.609, 0.442, 0.102,-0.800, 0.082, 38.9, 44, 0.688
Ti, 5.00, 0.03,-2.048, 0.062,-1.957, 0.033, 0.430,-1.077, 0.043,-3.125, 0.049, 50.7, 43, 0.195
Cr, 5.72, 0.05,-1.447, 0.064,-1.508, 0.055, 0.470,-0.827, 0.062,-2.274, 0.064, 24.1, 20, 0.239
Mn, 5.58, 0.03,-0.857, 0.041,-1.354, 0.032, 0.520,-0.909, 0.038,-1.765, 0.038,106.3, 83, 0.043
Fe, 7.54, 0.03,-1.285, 0.044,-1.513, 0.033, 0.437,-0.951, 0.038,-2.236, 0.041, 48.5, 66, 0.948
Ni, 6.29, 0.03,-1.490, 0.062,-1.829, 0.035, 0.599,-0.937, 0.051,-2.427, 0.043, 30.7, 34, 0.630
Cu, 4.34, 0.06,-0.710, 0.088,-1.102, 0.063, 0.711,-0.597, 0.089,-1.307, 0.068, 15.3, 32, 0.995
Zn, 4.70, 0.04,-0.610, 0.066,-0.279, 0.045, 0.555, 0.059, 0.058,-0.551, 0.054, 25.6, 19, 0.142
Ge, 3.70, 0.05,-0.615, 0.083,-0.725, 0.054, 0.690,-0.301, 0.078,-0.916, 0.059, 12.4, 24, 0.975
Kr, 3.36, 0.08,-0.166, 0.103,-0.332, 0.083, 0.684,-0.218, 0.109,-0.384, 0.089, 18.9, 26, 0.839
