#Sightline,H2,CO
BD+483437,20.42,13.36
BD+532820,20.15,13.89
CPD-691743,19.99,13.08
CPD-592603,20.15,14.08
HD12323,20.32,14.53
HD13268,20.51,14.20
HD13745,20.67,13.94
HD14434,20.43,14.36
HD15137,20.32,13.52
HD23180,20.61,14.83
HD23478,20.57,14.91
HD24190,20.38,13.95
HD24398,20.67,15.26
HD30122,20.70,14.85
HD34078,20.88,14.76
HD36841,20.40,14.08
HD37367,20.61,13.85
HD37903,20.95,13.69
HD43818,20.40,13.87
HD58510,20.23,13.26
HD63005,20.23,14.00
HD91983,20.23,13.79
HD93205,19.83,13.15
HD93222,19.84,13.26
HD93237,19.80,13.40
HD93840,19.28,13.26
HD94454,20.76,14.30
HD96675,20.86,15.28
HD99872,20.52,14.65
HD102065,20.56,13.69
HD106943,19.81,12.76
HD108002,20.34,13.66
HD108639,20.04,13.18
HD110434,19.90,12.94
HD112999,20.11,13.23
HD114886,20.34,13.61
HD115071,20.69,14.53
HD115455,20.58,14.08
HD116852,19.83,13.30
HD122879,20.36,13.11
HD124314,20.52,14.20
HD137595,20.62,13.89
HD140037,19.34,13.61
HD144965,20.79,15.28
HD147683,20.74,15.95
HD147888,20.58,15.28
HD152590,20.51,13.77
HD152723,20.30,13.76
HD157857,20.69,14.08
HD163758,19.85,13.38
HD190918,19.95,13.18
HD192035,20.68,15.15
HD192639,20.75,13.78
HD195965,20.34,14.08
HD198781,20.56,15.23
HD200775,21.15,17.29
HD203532,20.70,15.66
HD208905,20.43,14.62
HD209481,20.54,14.60
HD209975,20.15,14.04
HD210121,20.86,15.83
HD210809,20.00,13.36
HD220057,20.34,14.63
HD303308,20.15,13.72
HD308813,20.30,13.84
